row_id,C1-Modification,C1_stereo_donor,C2-Modification,d_2_stereo,d_3_sub,d_4_sub,C4_stereo_donor,C6_Modification,RRV,C1_Modification-a,C1_stereo_acceptor,a_2_sub,C3_Modification_a,C4-Modification_a,C6-Modification_a,Alcohol_position,Alcohol_type,Aka,temperature,Solvent,Concentartion,Stoichiometery,promoter,a-ratio
11,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
12,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,27
13,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,40
14,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,77
15,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,36
16,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,47
17,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,62
18,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
19,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-20 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
20,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
21,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,40
22,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,50
23,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,50
24,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,38
25,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,43
26,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
27,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
28,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,0 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
29,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
30,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,32
31,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,35
32,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
33,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,31
34,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
35,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
36,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
37,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
38,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,0
39,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,23
40,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,45
41,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,45
42,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,47
43,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,78
44,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,No Reaction
45,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,100
46,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,100
47,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,0
48,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,47
49,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,38
50,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,20
51,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,41
52,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,85
53,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,70
54,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,100
55,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,100
56,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,0
57,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,18
58,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,40
59,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,26
60,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,40
61,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,62
62,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,69
63,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,100
64,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,100
65,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
66,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,Trace
67,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
68,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,76
69,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,73
70,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
71,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
72,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
73,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
74,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,No Reaction
75,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,33
76,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,45
77,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,38
78,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,45
79,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,78
80,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,47
81,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,100
82,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,No Reaction
83,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,0
84,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,11
85,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,24
86,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,0
87,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,No Reaction
88,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,59
89,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,71
90,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,100
91,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,100
92,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,0
93,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,27
94,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,27
95,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,66
96,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,18
97,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,55
98,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,71
99,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,100
100,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,100
101,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,0
102,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,13
103,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,40
104,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,83
105,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,20
106,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,55
107,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,71
108,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,100
109,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,100
110,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,0
111,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,12
112,STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,27
113,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,91
114,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,19
115,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,52
116,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,62
117,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,100
118,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,100
119,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,0
120,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,0
121,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,21
122,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,30
123,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
124,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,77
125,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
126,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
127,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
128,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
129,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,91
130,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,92
131,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,35
132,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
133,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,78
134,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,83
135,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,34
136,STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,75
137,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,77
138,STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,91
139,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
140,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
141,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
142,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
143,STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
144,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
145,STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
